route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
1.101.1,1.101.H2771,1.101.11427331,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427341,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427348,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427350,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427352,"Collblanc",0,1.101.10501.1,1
1.91.1,1.91.H2736,1.91.11428559,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428561,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428563,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428565,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426693,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426695,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426697,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426699,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426701,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426703,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426705,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426707,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426709,"Zona Universitària",0,1.91.9100.1,1
1.101.1,1.101.H2771,1.101.11427362,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427364,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427366,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427376,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427378,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427380,"Collblanc",0,1.101.10501.1,1
1.91.1,1.91.H2736,1.91.11428636,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428638,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428640,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428642,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428644,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428666,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426711,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426712,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426713,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426714,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426715,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426716,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426717,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426718,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426719,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426720,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426721,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426722,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426724,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426726,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426735,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426737,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426739,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426741,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426743,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426745,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426747,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426710,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426749,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426751,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426753,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426755,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426757,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426759,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426761,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426763,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426766,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426768,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426781,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426783,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426785,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426787,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426789,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426791,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426793,"Aeroport T1",1,1.91.9100.2,1
1.104.1,1.104.H2127,1.104.11429355,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429357,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429359,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429363,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429365,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429367,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429369,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429373,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429377,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429379,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429383,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429387,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429389,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429391,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429393,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429397,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429399,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429401,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429403,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2127,1.104.11429407,"La Sagrera",1,1.104.10400.2,1
1.101.1,1.101.H2771,1.101.11427506,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427508,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427518,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427520,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427522,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427532,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427534,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427536,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427546,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427548,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2771,1.101.11427550,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2737,1.101.11428731,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2737,1.101.11428733,"Collblanc",0,1.101.10501.1,1
1.91.1,1.91.H2736,1.91.11428751,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428753,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428755,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428757,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428759,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2736,1.91.11428761,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426796,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426797,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426798,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426799,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426800,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426801,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426802,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426803,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426804,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426805,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426806,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426807,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426809,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426811,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426813,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426822,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426824,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426826,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426828,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426830,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426832,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426795,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426834,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426836,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426838,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426840,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426842,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426844,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426846,"Aeroport T1",1,1.91.9100.2,1
1.91.1,1.91.H2741,1.91.11426849,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426851,"Zona Universitària",0,1.91.9100.1,1
1.91.1,1.91.H2741,1.91.11426853,"Zona Universitària",0,1.91.9100.1,1
