from_stop_id,to_stop_id,weight_seconds,type
1.218,E.1021801,60,PW
1.218,E.21801,60,PW
1.219,1.218,108,SW
1.219,1.220,76,SW
1.219,E.1021901,60,PW
1.219,E.21901,60,PW
1.219,E.21911,60,PW
1.220,1.219,74,SW
1.220,1.221,93,SW
1.220,E.1022001,60,PW
1.220,E.22001,60,PW
1.220,E.22011,60,PW
1.221,1.220,89,SW
1.221,1.222,112,SW
1.221,1.413,45,TF
1.222,1.221,112,SW
1.222,1.223,108,SW
1.222,E.1022201,60,PW
1.222,E.22201,60,PW
1.222,E.22202,60,PW
1.223,1.222,108,SW
1.223,1.224,121,SW
1.223,E.1022301,60,PW
1.223,E.22301,60,PW
1.223,E.22302,60,PW
1.224,1.223,129,SW
1.224,1.225,86,SW
1.224,E.1022402,60,PW
1.224,E.22401,60,PW
1.224,E.22402,60,PW
1.225,1.224,83,SW
1.225,1.226,99,SW
1.225,1.936,45,TF
1.225,E.1022502,60,PW
1.225,E.22501,60,PW
1.225,E.22502,60,PW
1.226,1.225,81,SW
1.226,1.227,112,SW
1.226,E.1022601,60,PW
1.226,E.22601,60,PW
1.226,E.22602,60,PW
1.226,E.22603,60,PW
1.227,1.226,113,SW
1.227,E.1022701,60,PW
1.227,E.1022711,60,PW
1.227,E.22701,60,PW
1.227,E.22711,60,PW
1.314,1.315,102,SW
1.314,1.918,45,TF
1.314,E.31401,60,PW
1.314,E.31402,60,PW
1.314,E.31403,60,PW
1.314,E.31404,60,PW
1.315,1.314,99,SW
1.315,1.316,90,SW
1.315,E.1031501,60,PW
1.315,E.31501,60,PW
1.315,E.31503,60,PW
1.315,E.31504,60,PW
1.316,1.315,93,SW
1.316,1.317,98,SW
1.316,E.1031603,60,PW
1.316,E.31602,60,PW
1.316,E.31603,60,PW
1.316,E.31604,60,PW
1.317,1.316,99,SW
1.317,1.318,97,SW
1.317,E.1031701,60,PW
1.317,E.31701,60,PW
1.317,E.31702,60,PW
1.318,1.317,96,SW
1.318,1.319,86,SW
1.318,E.1031801,60,PW
1.318,E.31801,60,PW
1.318,E.31802,60,PW
1.319,1.318,88,SW
1.319,1.320,78,SW
1.319,1.518,45,TF
1.319,E.1031901,60,PW
1.319,E.31901,60,PW
1.319,E.31902,60,PW
1.319,E.31911,60,PW
1.319,E.31912,60,PW
